theme_id,theme_name
1,Technic
3,Competition
4,Expert Builder
16,RoboRiders
17,Speed Slammers
18,Star Wars
19,Supplemental
20,Throwbot Slizer
21,Universal Building Set
22,Creator
34,Make & Create
35,Bricks & More
50,Town
51,Arctic
52,City
53,Airport
54,Cargo
55,Coast Guard
56,Construction
57,Farm
58,Fire
59,Harbor
60,Hospital
61,Police
63,Traffic
64,Off-Road
65,Arctic
66,Trains
67,Classic Town
86,Divers
87,Extreme Team
88,Launch Command
89,Outback
90,Paradisa
91,Race
92,Res-Q
93,Space Port
94,Town Jr.
104,Town Plan
105,World City
106,City Center
112,Racers
114,Ferrari
118,Promotional
122,RC
123,World Racers
126,Space
127,Alien Conquest
128,Blacktron I
129,Blacktron II
130,Classic Space
131,Exploriens
132,Futuron
133,Ice Planet 2002
134,Insectoids
135,Life On Mars
136,M:Tron
137,Mars Mission
138,RoboForce
139,Space Police I
140,Space Police II
141,Space Police III
142,Spyrius
143,Supplemental
144,UFO
145,Unitron
146,Galaxy Squad
147,Pirates
148,Pirates I
153,Pirates II
154,Pirates III
155,Modular Buildings
156,Mini
157,Bricktober
158,Star Wars
171,Ultimate Collector Series
186,Castle
187,Black Falcons
188,Black Knights
189,Classic Castle
190,Dragon Knights
191,Dark Forest
193,Fantasy Era
194,Forestmen
195,Fright Knights
196,Kingdoms
197,Knights Kingdom I
198,Knights Kingdom II
199,Lion Knights
201,Royal Knights
203,Wolfpack
204,Designer Sets
206,Seasonal
207,Advent
208,City
209,Star Wars
210,Belville
211,Castle
212,Classic Basic
213,Clikits
