Resolution,Male,Female,18-24,25-49,50-64,65+
Doing more exercise or improving fitness,49.0,61,53,54,65,56
Saving more money,43.001,52,61,56,31,10
Losing weight,43.0,47,40,43,65,37
Improving my diet,41.0,43,45,44,36,34
Spending less time on social media,21.0,21,31,21,15,6
Pursuing a career ambition,26.0,16,40,19,7,0
Spending more time with my family,20.0,21,25,22,14,14
Taking up a new hobby,21.0,18,32,20,3,14
Decorating or renovating part of my home,9.0,18,12,14,23,11
Volunteering or doing more charity work,18.0,11,18,12,8,22
Cutting down on drinking,13.0,11,6,14,10,14
Giving up smoking,4.0,8,2,8,6,3
Raising money for a charity,10.0,4,10,7,2,7
Something else,16.0,19,17,17,16,23
